cat_id,train_text
3,"بازداشت اطرافیان احمدی نژاد به اتهام فساد ادامه خواهد یافت؟ \r\n سایت ""المانیتور"" با انتشار گزارشی به بازداشت اخیر ""محمدرضا رحیمی"" و انتقال او به زندان اوین به اتهام فساد و اختلاس اشاره می کند و می نویسد: این اقدام در حالی صورت گرفته که دولت ایران مبارزه ای را علیه فساد مالی و اداری بخصوص در نهادهای دولتی آغاز کرده است. \r\n\r\n به گزارش خرداد، ""المانیتور"" تلاش دولت برای جلب نظر مساعد سرمایه گذاران خصوصی را یکی از بهترین راهکارها به مظنور مقابله با گسترش فساد دولتی می داند."" \r\n\r\n المانیتور پیش بینی می کند که روند بازداشت اطرافیان احمدی نژاد به اتهام فساد و اختلاس ادامه خواهد یافت و علت اصلی این موضوع را تمرکز ثروت در دست بخش دولتی می داند و می نویسد: ""مشکل اقتصاد ایران ساختاری است. علاوه بر احتمال محاکمه یاران دیگر احمدی نژاد این موضوع مطرح شده که تعدادی از نمایندگان مجلس ایران نیز از رحیمی و شبکه تحت هدایت او رشوه دریافت کرده اند. دو عضو این شبکه نیز با اتهامی مشابه مواجه شده بودند یکی از آنان بابک زنجانی بازرگان ایرانی بود که در حال گذراندن دوران محکومیت خود در زندان به اتهام فساد و سوء استفاده از امکانات دولتی است و دیگری نیز سعید مرتضوی رییس پیشین سازمان تامین اجتماعی است که به اتهام فساد از فعالیت در تمام منماصب دولتی منع شده است."" \r\n\r\n المانیتور در ادامه با اشاره به قوانین و مقرراتی که می تواند با کمک بخش خصوصی به کاهش ابعاد فساد در اقتصاد ایران بیانجامد اشاره کرده و می نویسد: ""عدم شفافیت و تمرکز قدرت و ثروت در دست و انحصار افرادی معدود و خاص باعث ایجاد فساد می شود. دولت روحانی می تواند با شکستن انحصارات، اصلاح قوانین و مقررات، تعامل با جامعه مدنی و رسانه ها و همچنین هموار کردن مسیر توانمندترشدن بخش خصوصی و رقابتی ترشدن آن به این کاهش فساد اداری و اقتصادی کمک کند. علیرغم آن که اکثر سیاستمداران ایرانی از لزوم توجه به بخش خصوصی در ایران سخن می گویند با این حال، واقعیت آن است که تاکنون سیاست های اعمال شده سبب بزرگ تر شدن دولت شده است."" \r\n\r\n اخبار سیاسی - خردادنیوز"
3,اصولگرایان با احیای خانه احزاب قبلی مخالف هستند/ به دنبال تشکیل باشگاه احزاب هستیم \r\n به گزارش خبرنگار حوزه احزاب خبرگزاری فارس ، محمد حسن غفوری فرد عضو ادوار شورای مرکزی خانه احزاب در حاشیه کنگره جمعیت ایثارگران با حضور در جمع خبرنگاران و در پاسخ به سؤال خبرنگار فارس درباره آخرین وضعیت راه اندازی خانه احزاب جدید اظهار داشت: در حال حاضر 80تا 90 حزب، نامه مربوط به خانه احزاب را امضا کرده اند اما اصولگرایان فعلا موافق این مسئله نیستند. \r\n\r\n غفوری فرد ادامه داد: یک عده معتقدند آن خانه احزاب برندی در کشور بوده و باید همان احیا شود اما برخی نیز معتقدند که در آن خانه احزاب تقلب هایی اتفاق افتاده و از آن ذهنیت منفی وجود دارد از این رو باید با عنوان جدید شروع به فعالیت کند. \r\n\r\n این فعال اصولگرا با اشاره به عناوینی همچون باشگاه یا کانون احزاب برای راه اندازی خانه احزاب جدید تصریح کرد: در حال حاضر بحث محتوایی کمتر است و مباحث بر روی قالب و شکل و فرم متمرکز است؛ نامه ای در این زمینه تهیه و گروه هایی نیز آن را امضا کردند تا مجمع عمومی تشکیل شود. \r\n\r\n وی با بیان اینکه اگر دو سوم اعضای خانه احزاب درخواست مجمع عمومی کنند طبق اساسنامه باید تشکیل شود، خاطر نشان کرد: قرار بود آن نامه درخواست نوشته شود و عده ای نیز آن را امضا کردند اما احزاب اصولگرا با توجه به سابقه خانه احزاب با احیای آن مخالف هستند چرا که خانه احزاب واقعی یا باشگاه احزاب زمانی شکل می گیرد که متشکل از همه گروه های اصولگرا، اصلاح طلب و مستقل ها باشد. \r\n\r\n غفوری فرد یادآور شد: اگر غیر از این باشد همه گروه ها برای خود از مجموعه ای برخوردار هستند اما بحث خانه احزاب این است که احزاب مختلف در آن جمع شوند. \r\n\r\n غفوری فرد تأکید کرد: در حال حاضر محوریت بنده و آقای موسوی تبریزی در موضوع احیای خانه احزاب دیگر وجود ندارد. \r\n\r\n این فعال اصولگرا در پایان با اشاره به اینکه زمان جلسه بعدی با وزیر کشور از سوی وزیر تعیین می شود، گفت: با توجه به ذهنیت منفی که از خانه احزاب قبلی وجود دارد اصولگرایان بر روی عناوینی همچون باشگاه احزاب یا کانون احزاب تأکید دارند. \r\n\r\n انتهای پیام/
3,امیدواریم هر چه زودتر لایحه اصلاح قانون احزاب تقدیم مجلس شود \r\n دبیرکل حزب مردم سالاری عنوان کرد: در انتخابات حتما باید از راهنمایی و حمایت بزرگان جریان اصلاح طلب بهره مند شویم. در عین حال لیست های انتخاباتی را نباید اشخاص ببندند، بلکه این احزاب هستند که به لیست های نهایی انتخاباتی می رسند. مصطفی کواکبیان در گفت وگو با ایلنا، در پاسخ به این سوال که اصلاح طلبان در مقابل اصولگرایان که در حال برگزاری جلسات هم اندیشی هستند چه تمهیداتی را برای انتخابات مجلس آینده پیش رو خواهند داشت، عنوان کرد: حزب مردم سالاری طرح امام (ائتلاف ملی اصلاح طلبان میهن) را پیشنهاد داد و پس از آن نیز شورای هماهنگی جبهه اصلاحات تصویب کرد که در دی ماه همایشی را در همین رابطه با حضور اصلاح طلبان داشته باشیم. \r\n\r\n وی گفت: همه اصلاح طلبان در این همایش خواهند بود. آقای خاتمی هم به عنوان محور اصلاحات قطعا به این همایش دعوت می شود و اگر مصلحت بداند حتما به همایش خواهند آمد. دبیرکل حزب مردم سالاری عنوان کرد: ما حتما باید در انتخابات از راهنمایی و حمایت بزرگان این جریان بهره مند شویم اما معتقدم لیست های انتخاباتی را نباید اشخاص ببندند بلکه این احزاب هستند که به لیست های نهایی انتخاباتی می رسند. مضاف بر اینکه حمایت از گروه های اصلاح طلب توسط بزرگان این جریان تقویت شود. وی افزود: اگر با همین روند اصلاح طلبان بتوانند یک لیست واحد ارائه کنند، موجب پیروزی و موفقیت اصلاح طلبان در سراسر کشور خواهد شد. کواکبیان در مورد نحوه تعامل وزارت کشور با احزاب، گفت: نگاه وزارت کشور فعلی به احزاب قطعا رویکرد مثبتی است. جلسات و نشست های مختلفی با وزارت کشور داشتیم و طرح اصلاح قانون احزاب توسط کمیته مشورتی منتخبی که از 15 حزب بودند به وزارت کشور داده شده و امیدواریم این طرح مشورتی در وزارت کشور پخته تر شود و وقتی به دولت ارسال شد هر چه زودتر تقدیم مجلس شود و ما همچنان منتظریم . وی ادامه داد: در مورد راه اندازی خانه احزاب معتقدیم وزارت کشور باید هم اندیشی بیشتری داشته باشد تا بتوانیم نظام انتخاباتی حزبی داشته باشیم چراکه نظام انتخاباتی حزبی، بدون راه اندازی خانه احزاب ممکن نیست. کواکبیان در پایان به نحوه فعالیت احزاب در استان ها اشاره کرد و افزود: عموم اصلاح طلبان سراسر کشور از نوع تعامل استانداران با مجموعه اصلاحات و فعالان سیاسی گلایه مند هستند و امیدواریم وزارت کشور این را مدنظر قرار بدهد تا این گلایه مرتفع شود.
3,برنامه دیدارهای هیات مذاکره کننده هسته ای ایران/24 دی دیدار ظریف و کری \r\n به گزارش گروه سیاست خارجی خبرگزاری فارس ، عباس عراقچی، معاون وزیر خارجه و عضو ارشد گروه مذاکره کننده هسته ای کشورمان در خصوص برنامه دیدارهای آتی دو جانبه و چند جانبه با اعضای گروه 1+ 5 در تهران و ژنو اظهار داشت: روز دوشنبه 22 دی آقای سرگی ریابکف معاون وزیر خارجه روسیه و نماینده آن کشور در مذاکرات هسته ای جهت مذاکرات و رایزنی های دوجانبه هسته ای به ایران سفر می کند. وی در این سفر همچنین با ظریف وزیر امور خارجه کشورمان دیدار خواهد کرد. \r\n\r\n عراقچی افزود: روز چهارشنبه 24 دی نیز ظریف وزیر امور خارجه کشورمان و جان کری وزیر امور خارجه آمریکا به ژنو خواهند رفت تا پیش از مذاکرات دوجانبه معاونین خود با یکدیگر دیدار نموده و راهنمایی های لازم را به عمل آورند. \r\n\r\n وی افزود : متعاقبا طی روزهای 25 الی 27 دی هیاتهای مذاکره کننده ایرانی و آمریکایی در ژنو مذاکره دو جانبه خواهند داشت و روز 28 دی نیز مذاکرات ایران و 1+5 در سطح معاونین برگزار خواهد شد. \r\n\r\n عراقچی افزود : قبل و بعد از این مذاکرات، با بقیه اعضای 1+5 نیز به صورت دو جانبه ملاقات و مذاکره صورت خواهد گرفت.
3,پرزیدنت روحانی می خواهد بر سر غنی سازی سازش کند \r\n به گزارش گروه بین الملل خبرگزاری فارس ، پایگاه تحلیلی خبری جینز در مقاله ای سخنان اخیر دکتر حسن روحانی در خصوص پرونده هسته ای پرداخته و بر اساس استباط خود و بر خلاف متن سخنان آقای روحانی، این سخنرانی را نشان دهنده تمایل وی برای سازش بر سر غنی سازی ارزیابی کرده است. \r\n\r\n در ابتداء، جینز سابقه ای مختصر از سخنان اخیر دکتر روحانی ارائه می دهد و می گوید در روز چهار ژانویه (یکشنبه 14 دی)، پرزیدنت حسن روحانی، در یک کنفرانس اقتصادی سخن گفت و سخنانش دلالت بر این امر می کرد که توقف برخی انواع غنی سازی که فعلاً نیازی به آنها نداریم به معنای سازش بر سر اصول و اهدافمان نیست. \r\n\r\n جینز به زوایای بیشتری از سخنان دکتر روحانی می پردازد و می گوید که حسن روحانی کفته آرمان های ما به سانتریفیوژ وصل نیست. \r\n\r\n این پایگاه خبری اما سخنان رئیس جمهوری را اینگونه ارزیابی می کند که روحانی به سازش بر سر توانایی غنی سازی ایران تمایل دارد؛ غنی سازی یک مسئله کلیدی در مذاکرات ایران و 1+5 است. \r\n\r\n انتهای پیام/
3,جلسه هیئت وزیران در محضر رهبر معظم انقلاب برگزار شد \r\n به گزارش خبرگزای آنا به نقل از پایگاه اطلاع رسانی دفتر مقام معظم رهبری، جلسه هیئت دولت، ویژه بررسی مشکلات و مسائل مرتبط با توسعه استان خراسان شمالی در حضور رهبر معظم انقلاب اسلامی برگزار شد.در این جلسه رهبر معظم انقلاب نکات و اولویت های اساسی برای ارتقای سطح استان را بیان کردند.در ابتدای جلسه نیز محمدرضا رحیمی معاون اول رئیس جمهور گزارشی از وضعیت استان و مصوبات جلسه ویژه هیئت دولت برای استان خراسان شمالی ارائه کرد.
3,همه 290 کرسی آینده مجلس دهم را می خواهیم/باید مجلسی داشته باشیم که با علی مطهری های آن برخوردی نشود \r\n به گزارش خبرنگار سیاسی خبرگزاری فارس ، مصطفی کواکبیان دبیرکل حزب مردمسالاری در همایش سراسری جبهه اصلاحات طی سخنانی به انتخابات آتی مجلس اشاره کرد و اظهار داشت: ما همه 290 کرسی آینده مجلس دهم را می خواهیم. \r\n\r\n کواکبیان همچنین تصریح کرد: ما باید مجلسی داشته باشیم که با علی مطهری ها آن برخوردها صورت نگیرد. \r\n\r\n ادامه دارد...
3,رابطه با چین را یک رابطه استراتژیک می دانیم/سفر رئیس جمهور چین به ایران در آینده نزدیک \r\n به گزارش خبرنگار سیاسی خبرگزاری فارس ، علی اکبر ولایتی رئیس مجلس بررسی های استراتژیک مجمع تشخیص مصلحت نظام ظهر امروز دوشنبه با وانگ ای وزیر خارجه چین دیدار و گفت وگو کرد. \r\n\r\n ولایتی در این دیدار با تأکید بر اینکه بدون هیچ تردیدی به رابطه با چین به عنوان یک رابطه استراتژیک نگاه می کنیم، اظهار داشت: منتظر هستیم که به زودی رئیس جمهور چین به ایران سفر کند. \r\n\r\n وی با بیان اینکه بنده چندین بار به کشور چین سفر کرده ام، تصریح کرد: در کنگره آوریل که مربوط به جاده ابریشم است نیز دعوت شده ام که به این کشور بروم. \r\n\r\n انتهای پیام/
3,درخواست حزبی وزارت کشور از معاون اول \r\n رئیس مرکز مطالعات راهبردی و آموزش وزارت کشور از درخواست وزارت کشور از معاون اول رئیس جمهور برای بررسی خارج از نوبت لایحه احزاب در دولت خبر داد. \r\n\r\n اصغر افتخاری رئیس مرکز مطالعات راهبردی و آموزش وزارت کشور در گفت وگو با تسنیم، درباره آخرین وضعیت لایحه قانون احزاب در دولت اظهار داشت: پیشنهادات احزاب اصلاح طلب و اصولگرا و همچنین وزارت کشور که در گذشته تدوین شده بود، در حال حاضر برای بررسی و تصویب به هیئت دولت ارسال شده است. \r\n\r\n وی با اشاره به ارسال نامه به جهانگیری در خصوص بررسی خارج از نوبت لایحه احزاب گفت: از آقای جهانگیری معاون اول رئیس جمهور درخواست کرده ایم که این لایحه خارج از نوبت در هیئت دولت بررسی شود و این درخواست را اخیراً در قالب نامه ای به وی ارسال کرده ایم. \r\n\r\n رئیس مرکز مطالعات راهبردی و آموزش وزارت کشور در پایان اظهار امیدواری کرد که اگر کارهای دولت متراکم نباشد، می تواند این لایحه را تا پایان سال بررسی کند. \r\n\r\n به گزارش تسنیم، پیش از این امیر خجسته رئیس کمیسیون شوراهای مجلس شورای اسلامی با اشاره به بررسی طرح اصلاح قانون احزاب در مجلس، از نهایی شدن طرح مذکور در کمیته بررسی این طرح در مجلس خبر داده بود. این درحالی است که لایحه احزاب که قرار است با طرح مجلس ادغام شود هنوز در هیئت دولت در نوبت رسیدگی قرار دارد و حسینعلی امیری قائم مقام وزیر کشور در گفت وگو با خبرنگار حوزه احزاب خبرگزاری تسنیم، درباره آخرین وضعیت بررسی لایحه قانون احزاب در هیئت دولت گفته که ما لایحه قانون احزاب را مدت ها است که برای بررسی در هیئت دولت، ارسال کرده ایم و بررسی آن در دولت بستگی به این موضوع دارد که چه زمانی در دستور کار کمیسیون های دولت قرار گیرد.
3,9 دی روز تجدید بیعت با رهبر معظم انقلاب است \r\n به گزارش خبرگزاری فارس از بردسکن، حجت الاسلام ابراهیم معادی عصر امروز در جمع پرشور مردم بردسکن که با حضور امام جمعه، سرپرست فرمانداری بردسکن و دیگر مسئولان شهرستان در محل مسجد جامع شهرستان بردسکن برگزار شد، اظهار کرد: حادثه نهم دی با حضور پرخروش مردم، چهره نفاق را معرفی کرد. \r\n\r\n رئیس شورای سیاست گذاری ائمه جمعه استان خراسان رضوی با بیان اینکه 9 دی روز بصیرت است، افزود: مردم با حضور خود در روز نهم دی سال 88 به غائله فتنه گران خاتمه دادند و بر تمام تردیدها و فتنه ها خط ابطال کشیدند و این روز در تاریخ ماندگار شد. \r\n\r\n وی اظهار داشت: مردم غیرتمند ما همواره با هوشیاری و آگاهی در صحنه هایی که نظام به حضور آنان نیازمند بوده است حاضر شده اند و در این راه با تمام قوا در برابر شمنان ایستاده اند. \r\n\r\n حجت الاسلام معادی گفت: تجدید بیعت با ولایت و اعلام بیزاری از فتنه گران یکی از پیام های حادثه 9 دی بود. \r\n\r\n وی آحاد ملت را به اطاعت از فرمان رهبر معظم انقلاب سفارش کرد و افزود: برای در امان بودن از فتنه های بزرگتر تمکین به ولایت و امامت تنها راه ممکن است. \r\n\r\n رئیس شورای سیاست گذاری ائمه جمعه استان خراسان رضوی اظهار داشت: یوم الله 9 دی برای نظام و انقلاب مصونیت ایجاد کرد و کمر دشمن را شکست. \r\n\r\n انتهای پیام/3138
3,سفر وزیر خارجه ترکیه به تهران \r\n به منظور شرکت در بیست و یکمین نشست وزیران خارجه کشورهای عضو سازمان همکاری اقتصادی (اکو) احمد داوود اوغلو، وزیر خارجه ترکیه 5 آذرماه (26 نوامبر) به تهران سفر می کند.هم چنین وزیر امورخارجه ترکیه در این سفر با محمد جواد ظریف، همتای ایرانی اش درباره روابط دوجانبه و مسایل منطقه ای به خصوص سوریه دیدار و گفت و گو می کند.در این دیدار زمان دقیق سفر رجب طیب اردوغان، نخست وزیر این کشور به ایران و سفر حسن روحانی، رییس جمهور کشورمان به ترکیه که به هنگام حضور داوود اوغلو در مراسم تحلیف ریاست جمهوری توافق شده بود، مورد گفت و گو قرار می گیرد.بیست و یکمین نشست وزیران خارجه کشورهای عضو اکو 3 الی 5 آذرماه در تهران برگزار می شود.ایران، پاکستان، ترکیه، افغانستان، آذربایجان، قزاقستان، ترکمنستان، قرقیزستان، ازبکستان و تاجیکستان عضو سازمان همکاری اقتصادی (اکو) هستند.
3,برگزاری انتخابات مجلس و خبرگان رهبری در 7 اسفند \r\n سخنگوی شورای نگهبان، گفت: هفتم اسفند ماه سال آینده به عنوان روز انتخابات مجلس دهم و مجلس خبرگان رهبری از سوی شورای نگهبان تعیین شد. به گزارش روابط عمومی شورای نگهبان، نجات الله ابراهیمیان با اشاره به ارسال نامه وزارت کشور به این شورا جهت تعیین روز انتخابات مجلس شورای اسلامی و مجلس خبرگان رهبری، اظهار کرد: چند روز قبل نامه وزارت کشور مبنی بر پیشنهاد روز برگزاری انتخابات مجلس دهم به شورای نگهبان رسید که دو تاریخ مجزا در این نامه به عنوان روز برگزاری انتخابات پیشنهاد شده بود. وی ادامه داد: اعضای شورای نگهبان با بررسی همه جوانب، نسبت به بررسی این دو تاریخ، اقدام و روز هفتم اسفند ماه سال آینده را به عنوان روز برگزاری انتخابات مجلس شورای اسلامی و مجلس خبرگان رهبری تعیین کردند. سخنگوی شورای نگهبان تصریح کرد: این تصمیم شورای نگهبان به وزارت کشور اعلام شده است.
3,نشست اصلاح طلبان خراسان شمالی برگزار می شود \r\n به گزارش خبرگزاری فارس از بجنورد، نشست اصلاح طلبان با حضور سیدرضا نوروززاده و حسین آفریده از اصلاح طلبان استان این هفته برگزار خواهد شد. \r\n\r\n این دومین نشست رسمی اصلاح طلبان استان برای انتخابات دهم مجلس شورای اسلامی طی امسال است. \r\n\r\n البته در ماه های گذشته نشست های محفلی در این زمینه از سوی اصلاح طلبان خراسان شمالی برگزار شده بود. \r\n\r\n اکنون چند چهره اصلاح طلب در استان برای انتخابات مجلس شورای اسلامی مطرح هستند که برخی از آنان از کارکنان وزارت کشور بوده و اکنون دارای مسئولیت های مختلفی در استانداری هستند. \r\n\r\n براساس دستورالعمل وزیر کشور کارکنان این وزارتخانه باید تا قبل از اسفند ماه امسال استعفای خود را برای حضور در انتخابات اسفند 94 مجلس شورای اسلامی ارائه کنند. \r\n\r\n همچنین چند نماینده ادوار مجلس شورای اسلامی در خراسان شمالی خود را برای حضور در این انتخابات آماده می کنند. \r\n\r\n استان خراسان شمالی هم اکنون دارای چهار کرسی در مجلس شورای اسلامی بوده و شهرستان فاروج در خراسان شمالی و قوچان در خراسان رضوی به طور مشترک یک نماینده دارند. \r\n\r\n همچنین از سوی کمیسیون شوراهای اسلامی مجلس مقرر بود تا برای حوزه انتخابیه بجنورد و راز و جرگلان برای انتخابات دوره بعد مجلس به طور مشترک دو نماینده و شهرستان های مانه و سملقان، جاجرم و گرمه به طور مشترک یک نماینده داشته باشند که تاکنون این مهم نهایی نشده است. \r\n\r\n براساس قانون باید تعداد نمایندگان دهمین دوره مجلس شورای اسلامی به 310 نفر یا بیشتر افزایش یابد، چرا که باید در انتخابات مجلس شورای اسلامی (1390-91)، 20 نفر افزوده می شد که در آن دوره، لایحه افزودن 20 نماینده به تعداد نمایندگان فعلی از طرف دولت به مجلس هشتم، ارائه نشد، به همین خاطر باید این دوره، تعداد نمایندگان 20 نفر افزایش یابد. \r\n\r\n
3,تیم مذاکره کننده هسته ای در راه تهران \r\n به گزارش خبرگزاری موج، محمد جواد ظریف، وزیر امور خارجه کشورمان که در رأس تیم مذاکره کننده هسته ای از روز جمعه به منظور شرکت در اجلاس امنیتی مونیخ به آلمان سفر کرده بود، امشب در پایان سفر سه روزه به ایران باز می گردد. \r\n ظریف در مونیخ علاوه بر دیدار با برخی وزرای خارجه 1+5 با وزیر امور خارجه عراق، نخست وزیر لبنان، رئیس آژانس بین المللی انرژی اتمی، مسئول سیاست خارجی اتحادیه اروپا و رئیس جمهور اسلوونی دیدار و گفتگو داشت.
3,رییس جمهور اسلوونی: علاقمندم به ایران سفر کنم \r\n وزیر خارجه کشورمان در حاشیه کنفرانس مونیخ با رییس جمهوری اسلوونی دیدار کرد. \r\n\r\n به گزارش گروه سیاسی خبرگزاری برنا، رییس جمهور اسلوونی در دیدار با وزیر امور خارجه کشورمان گفت: ایران نقش بسیار برجسته ای با توجه به جایگاه و قدرت آن در حل و فصل بحران های منطقه یی دارد. \r\n\r\n رییس جمهوری اسلوونی گفت: علاقه مند به سفر به تهران است و بر اساس دعوتی که از سوی دکتر روحانی شده است در اولین فرصت و زمان مناسب به ایران سفر خواهد کرد. \r\n\r\n وی ابراز امیدواری کرد که در اسرع وقت موضوع هسته ای ایران حل شود و این امر بسیار مهم و آثار مثبت خواهد داشت.
